site_id,outer_fold,strategy,K,selected_ex,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,nrmse_energy_fullrange,spectral_cosine_fullrange,spectral_cosine_interpdomain,n_eval_fullrange,n_eval_interpdomain,rho_structure
S08,7,Uniform,8,300;355;415;470;530;585;645;700,0.1574840091159254,0.1574840091159254,0.15748400911592533,0.9876273484281937,0.9876273484281937,4142,4142,0.976464148877942
S09,8,NAIG,2,365;425,0.18420697506756806,0.1647013018283455,0.18420697506756806,0.9841336245309243,0.9882357008337664,4017,875,0.9485495347564314
S09,8,NAIG,3,365;425;480,0.1711728366011811,0.1782984456841316,0.17117283660118113,0.9856349540917121,0.9866735555410858,4017,1548,0.9655172413793104
S09,8,NAIG,4,365;425;480;620,0.17198092513376753,0.1745910683930663,0.17198092513376753,0.9855999970754242,0.9867490693447185,4017,2712,0.9671592775041052
S09,8,NAIG,6,365;425;480;620;545;330,0.17250983734732714,0.17650690094575688,0.1725098373473271,0.9864618722858621,0.9857467855936268,4105,3255,0.9775588396278052
S09,8,NAIG,8,365;425;480;620;545;330;505;305,0.16651112900866832,0.16896465216295126,0.1665111290086683,0.9870752727133385,0.9867788503834541,4142,3674,0.9786535303776684
S09,8,Uniform,2,300;700,0.2247111066133422,0.2247111066133422,0.22471110661334218,0.9758975425570943,0.9758975425570943,3782,3782,0.7712096332785988
S09,8,Uniform,3,300;500;700,0.1992801398938974,0.1992801398938974,0.1992801398938974,0.9799465123953962,0.9799465123953962,3885,3885,0.9036672140120416
S09,8,Uniform,4,300;435;565;700,0.20507869936416298,0.20507869936416298,0.20507869936416298,0.9787727598124063,0.9787727598124063,4142,4142,0.9518336070060208
S09,8,Uniform,6,300;380;460;540;620;700,0.19623624009384819,0.19623624009384819,0.1962362400938482,0.9806675537325014,0.9806675537325014,4142,4142,0.9715380405035576
S09,8,Uniform,8,300;355;415;470;530;585;645;700,0.167953973710123,0.167953973710123,0.167953973710123,0.9865283947819796,0.9865283947819796,4142,4142,0.9896004378763
S10,9,NAIG,2,365;425,0.2754662944825802,0.24941388231281753,0.27546629448258014,0.9633329567412288,0.9735887161027471,4017,875,0.9698960043787632
S10,9,NAIG,3,365;425;620,0.2743506809641608,0.34400970954247606,0.2743506809641608,0.9635055979646328,0.9574744059454907,4017,2712,0.9748221127531472
S10,9,NAIG,4,365;425;620;450,0.23122041265874002,0.24223541947135466,0.23122041265874,0.9730494888489958,0.9740644673247011,4017,2712,0.9742747673782156
S10,9,NAIG,6,365;425;620;450;545;695,0.22946381216292888,0.23541251008049288,0.22946381216292885,0.9734146630018128,0.9749522291656985,4017,3079,0.980295566502463
S10,9,NAIG,8,365;425;620;450;545;695;505;475,0.22202715204524956,0.2156914770494794,0.22202715204524948,0.975048360626043,0.9779319081194081,4017,3079,0.9666119321291736
S10,9,Uniform,2,300;700,0.3239405714264444,0.3239405714264444,0.3239405714264444,0.9477322571132744,0.9477322571132744,3782,3782,0.8489326765188834
S10,9,Uniform,3,300;500;700,0.32006495835375715,0.32006495835375715,0.3200649583537571,0.9517461285422246,0.9517461285422246,3885,3885,0.9556650246305418
S10,9,Uniform,4,300;435;565;700,0.33058192893840027,0.33058192893840027,0.33058192893840027,0.9507656677935968,0.9507656677935968,4142,4142,0.976464148877942
S10,9,Uniform,6,300;380;460;540;620;700,0.3000909388247618,0.3000909388247618,0.3000909388247618,0.9550749424718529,0.9550749424718529,4142,4142,0.9890530925013684
S10,9,Uniform,8,300;355;415;470;530;585;645;700,0.2518483130967748,0.2518483130967748,0.2518483130967748,0.9691169625751462,0.9691169625751462,4142,4142,0.9950738916256158
S11,10,NAIG,2,365;425,0.23805643713539332,0.22303372246041756,0.2380564371353933,0.9753794916558921,0.9791868624601998,4017,875,0.9430760810071156
S11,10,NAIG,3,365;425;480,0.2193459312538267,0.24822797388622522,0.21934593125382668,0.9779372401753493,0.9744812829623596,4017,1548,0.9551176792556104
S11,10,NAIG,4,365;425;480;620,0.21895262962621864,0.23076777140861018,0.21895262962621861,0.97802713611305,0.9773612738422972,4017,2712,0.9534756431308156
S11,10,NAIG,6,365;425;480;620;545;330,0.23033096010800894,0.23623790919667456,0.23033096010800896,0.977281762610821,0.9745691298434026,4105,3255,0.9715380405035576
S11,10,NAIG,8,365;425;480;620;545;330;505;305,0.20894583351368715,0.21258842367348077,0.20894583351368712,0.9794496438272674,0.978760202869848,4142,3674,0.9737274220032842
S11,10,Uniform,2,300;700,0.2619179051398478,0.2619179051398478,0.2619179051398478,0.9668412076204576,0.9668412076204576,3782,3782,0.7931034482758622
S11,10,Uniform,3,300;500;700,0.2558778823539781,0.2558778823539781,0.2558778823539781,0.9703049749115866,0.9703049749115866,3885,3885,0.909688013136289
S11,10,Uniform,4,300;435;565;700,0.2637237504303027,0.2637237504303027,0.26372375043030266,0.9678764444726567,0.9678764444726567,4142,4142,0.9485495347564314
S11,10,Uniform,6,300;380;460;540;620;700,0.24428203929153208,0.24428203929153208,0.24428203929153208,0.9702103098353627,0.9702103098353627,4142,4142,0.9540229885057472
S11,10,Uniform,8,300;355;415;470;530;585;645;700,0.18968189175429165,0.18968189175429165,0.18968189175429162,0.9819431266265356,0.9819431266265356,4142,4142,0.9841269841269842
S12,11,NAIG,2,365;425,0.21078947840751147,0.1910162121423697,0.21078947840751147,0.979197259288967,0.9840727098520582,4017,875,0.9020251778872468
