site_id,outer_fold,strategy,K,selected_ex,selected_ex_span_nm,lower_edge_gap_nm,upper_edge_gap_nm,rho_structure,relative_frobenius_error_fullrange,nrmse_energy_fullrange,spectral_cosine_fullrange,reconstruction_supported_fraction_fullrange,single_support_fraction_fullrange,unsupported_fraction_fullrange,target_positions_fullrange,supported_positions_fullrange,single_support_positions_fullrange,unsupported_positions_fullrange,relative_frobenius_error_interpdomain,nrmse_energy_interpdomain,spectral_cosine_interpdomain,reconstruction_supported_fraction_interpdomain,single_support_fraction_interpdomain,unsupported_fraction_interpdomain,target_positions_interpdomain,supported_positions_interpdomain,single_support_positions_interpdomain,unsupported_positions_interpdomain,relative_frobenius_error_edgeonly,nrmse_energy_edgeonly,spectral_cosine_edgeonly,reconstruction_supported_fraction_edgeonly,single_support_fraction_edgeonly,unsupported_fraction_edgeonly,target_positions_edgeonly,supported_positions_edgeonly,single_support_positions_edgeonly,unsupported_positions_edgeonly,reconstruction_supported_fraction,single_support_fraction,unsupported_fraction
S05,4,NAIG,2,365;620,255,65,80,0.8385331143951834,0.20556275510622873,0.20556275510622876,0.9794508008308539,0.9681851048445409,0.6244878283923837,0.03181489515545915,4149,4017,2591,132,0.21583387133354143,0.2158338713335414,0.9795618829797763,0.9912280701754386,0.623172514619883,0.008771929824561403,2736,2712,1705,24,0.1917977877953466,0.19179778779534662,0.9815252023630553,0.9235668789808917,0.627034677990092,0.07643312101910828,1413,1305,886,108,0.9681851048445409,0.6244878283923837,0.03181489515545915
S05,4,NAIG,3,365;620;435,255,65,80,0.9627805145046526,0.20302804632887148,0.2030280463288715,0.9796244307389156,0.9681851048445409,0.07977825982164377,0.03181489515545915,4149,4017,331,132,0.20654954304340348,0.20654954304340342,0.9799542909032334,0.9912280701754386,0.059941520467836254,0.008771929824561403,2736,2712,164,24,0.19848851268786247,0.1984885126878625,0.9801091468117115,0.9235668789808917,0.11818825194621373,0.07643312101910828,1413,1305,167,108,0.9681851048445409,0.07977825982164377,0.03181489515545915
S05,4,NAIG,4,365;620;435;545,255,65,80,0.9644225506294472,0.19610230138183107,0.19610230138183107,0.9808178535860873,0.9681851048445409,0.07977825982164377,0.03181489515545915,4149,4017,331,132,0.19671967134933332,0.19671967134933332,0.9814892585834073,0.9912280701754386,0.059941520467836254,0.008771929824561403,2736,2712,164,24,0.19531932677246905,0.19531932677246905,0.9807900290767793,0.9235668789808917,0.11818825194621373,0.07643312101910828,1413,1305,167,108,0.9681851048445409,0.07977825982164377,0.03181489515545915
S05,4,NAIG,6,365;620;435;545;475;345,275,45,80,0.9846743295019158,0.23526780454012178,0.23526780454012178,0.9759127495771639,0.9930103639431188,0.036153289949385395,0.0069896360568811764,4149,4120,150,29,0.2554258659979509,0.255425865997951,0.9748565748268067,0.9990112063282794,0.018787079762689517,0.000988793671720501,3034,3031,57,3,0.1944576635673111,0.1944576635673111,0.981049010239935,0.9766816143497757,0.08340807174887892,0.023318385650224215,1115,1089,93,26,0.9930103639431188,0.036153289949385395,0.0069896360568811764
S05,4,NAIG,8,365;620;435;545;475;345;305;505,315,5,80,0.9863163656267104,0.19305328389768842,0.19305328389768842,0.9811971912302506,0.997589780670041,0.00457941672692215,0.002410219329959026,4149,4139,19,10,0.19172882748005352,0.19172882748005354,0.9814920520640159,0.9978260869565218,0.004347826086956522,0.002173913043478261,3680,3672,16,8,0.20851815276995123,0.20851815276995123,0.9795356204804977,0.9957356076759062,0.006396588486140725,0.0042643923240938165,469,467,3,2,0.997589780670041,0.00457941672692215,0.002410219329959026
S05,4,Uniform,2,300;700,400,0,0,0.6962233169129721,0.21731351738565657,0.2173135173856566,0.9769431601688946,0.9115449505905038,0.606411183417691,0.08845504940949626,4149,3782,2516,367,0.21731351738565657,0.2173135173856566,0.9769431601688946,0.9115449505905038,0.606411183417691,0.08845504940949626,4149,3782,2516,367,,,,,,,0,0,0,0,0.9115449505905038,0.606411183417691,0.08845504940949626
S05,4,Uniform,3,300;500;700,400,0,0,0.8412698412698415,0.18542961706384867,0.1854296170638487,0.9826605831713452,0.9363702096890817,0.18775608580380815,0.0636297903109183,4149,3885,779,264,0.18542961706384867,0.1854296170638487,0.9826605831713452,0.9363702096890817,0.18775608580380815,0.0636297903109183,4149,3885,779,264,,,,,,,0,0,0,0,0.9363702096890817,0.18775608580380815,0.0636297903109183
S05,4,Uniform,4,300;435;565;700,400,0,0,0.9195402298850576,0.18870620654576012,0.1887062065457601,0.9820443288479297,0.9983128464690287,0.1099060014461316,0.0016871535309713184,4149,4142,456,7,0.18870620654576012,0.1887062065457601,0.9820443288479297,0.9983128464690287,0.1099060014461316,0.0016871535309713184,4149,4142,456,7,,,,,,,0,0,0,0,0.9983128464690287,0.1099060014461316,0.0016871535309713184
S05,4,Uniform,6,300;380;460;540;620;700,400,0,0,0.9430760810071156,0.17843954044056512,0.17843954044056512,0.9840413075470806,0.9983128464690287,0.04338394793926247,0.0016871535309713184,4149,4142,180,7,0.17843954044056512,0.17843954044056512,0.9840413075470806,0.9983128464690287,0.04338394793926247,0.0016871535309713184,4149,4142,180,7,,,,,,,0,0,0,0,0.9983128464690287,0.04338394793926247,0.0016871535309713184
S05,4,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.9852216748768474,0.1719851548689386,0.1719851548689386,0.9860141034011202,0.9983128464690287,0.023620149433598456,0.0016871535309713184,4149,4142,98,7,0.1719851548689386,0.1719851548689386,0.9860141034011202,0.9983128464690287,0.023620149433598456,0.0016871535309713184,4149,4142,98,7,,,,,,,0,0,0,0,0.9983128464690287,0.023620149433598456,0.0016871535309713184
S06,5,NAIG,2,365;425,60,65,275,0.9693486590038316,0.6101482217164914,0.6101482217164914,0.8060942325072347,0.9681851048445409,0.19040732706676308,0.03181489515545915,4149,4017,790,132,0.4871653031888763,0.4871653031888763,0.8752345043020758,0.9733036707452726,0.17908787541713014,0.026696329254727477,899,875,161,24,0.6666821819123484,0.6666821819123483,0.7705243644893159,0.9667692307692307,0.19353846153846155,0.03323076923076923,3250,3142,629,108,0.9681851048445409,0.19040732706676308,0.03181489515545915
