site_id,configuration_id,relative_frobenius_error,spectral_cosine,rho_structure,quadrant
S10,NAIG-fold-specific,0.2306379537567175,0.9731634878038428,0.980295566502463,A_high_rho_low_error
S10,NAIG-fold-specific,0.2269991917787986,0.9739401472406272,0.9666119321291736,A_high_rho_low_error
S11,NAIG-fold-specific,0.2380564371353933,0.975379491655892,0.9430760810071156,C_low_rho_low_error
S11,NAIG-fold-specific,0.2193459312538267,0.9779372401753492,0.9551176792556104,C_low_rho_low_error
S11,NAIG-fold-specific,0.2189526296262186,0.97802713611305,0.9534756431308156,C_low_rho_low_error
S11,NAIG-fold-specific,0.2934466159182184,0.9665077924329316,0.9715380405035576,B_high_rho_high_error
S11,NAIG-fold-specific,0.2639628023836763,0.9646192488357912,0.9737274220032842,B_high_rho_high_error
S12,NAIG-fold-specific,0.2107894784075114,0.979197259288967,0.9020251778872468,C_low_rho_low_error
S12,NAIG-fold-specific,0.2022252841054527,0.980255168422272,0.9529282977558836,C_low_rho_low_error
S12,NAIG-fold-specific,0.2004067540891034,0.9806530145449408,0.9562123700054737,A_high_rho_low_error
S12,NAIG-fold-specific,0.2708694688146857,0.971092856530088,0.9359605911330048,D_low_rho_high_error
S12,NAIG-fold-specific,0.2229196075999496,0.9776686788843264,0.9633278598795842,A_high_rho_low_error
S13,NAIG-fold-specific,0.2137006492739148,0.9809275912198614,0.9354132457580736,C_low_rho_low_error
S13,NAIG-fold-specific,0.1996236791881607,0.9824794787355376,0.9578544061302684,A_high_rho_low_error
S13,NAIG-fold-specific,0.1982986337267412,0.982306678834831,0.9584017515052,A_high_rho_low_error
S13,NAIG-fold-specific,0.1946082402104804,0.9826859997223658,0.9441707717569788,C_low_rho_low_error
S13,NAIG-fold-specific,0.1891629928570072,0.9829385349151636,0.9616858237547894,A_high_rho_low_error
S14,NAIG-fold-specific,0.3699090732903662,0.9447588142996008,0.947454844006568,D_low_rho_high_error
S14,NAIG-fold-specific,0.3351861712470878,0.9503103898510876,0.9720853858784894,B_high_rho_high_error
S14,NAIG-fold-specific,0.2821826717396722,0.9626888740071278,0.9737274220032842,B_high_rho_high_error
S14,NAIG-fold-specific,0.3564762414690246,0.9481909818976046,0.9824849480021892,B_high_rho_high_error
S14,NAIG-fold-specific,0.3273910807089427,0.954684766157742,0.9819376026272578,B_high_rho_high_error
S15,NAIG-fold-specific,0.1797321520204376,0.9838874143576396,0.9157088122605364,C_low_rho_low_error
S15,NAIG-fold-specific,0.1765954641678133,0.9846431328307992,0.9277504105090312,C_low_rho_low_error
S15,NAIG-fold-specific,0.1766449539832918,0.9844587679552328,0.9376026272577996,C_low_rho_low_error
S15,NAIG-fold-specific,0.1823566308938013,0.9848155846616012,0.963327859879584,A_high_rho_low_error
S15,NAIG-fold-specific,0.1929358530949525,0.981705865055286,0.9726327312534212,A_high_rho_low_error
