site_id,strategy,K,selected_ex,selected_ex_span_nm,lower_edge_gap_nm,upper_edge_gap_nm,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,spectral_cosine_fullrange,reconstruction_supported_fraction_fullrange,unsupported_fraction_fullrange
S16,Uniform,3,300;500;700,400,0,0,0.23910721230687162,0.23910721230687162,0.9722001316394338,0.9363702096890817,0.0636297903109183
S16,Uniform,4,300;435;565;700,400,0,0,0.2400489558737602,0.2400489558737602,0.9719982728004404,0.9983128464690287,0.0016871535309713184
S16,Uniform,6,300;380;460;540;620;700,400,0,0,0.2217394752949569,0.2217394752949569,0.9751160259577961,0.9983128464690287,0.0016871535309713184
S16,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.1959441663946135,0.1959441663946135,0.9817267040528744,0.9983128464690287,0.0016871535309713184
S17,NAIG,2,365;425,60,65,275,0.2087258104443328,0.18492988409483524,0.9804862412031417,0.9681851048445409,0.03181489515545915
S17,NAIG,3,365;425;480,115,65,220,0.20587893622605263,0.19865937935608186,0.9807673437439411,0.9681851048445409,0.03181489515545915
S17,NAIG,4,365;425;480;620,255,65,80,0.20459137422223517,0.18926345796743274,0.9808439129742588,0.9681851048445409,0.03181489515545915
S17,NAIG,6,365;425;480;620;545;325,295,25,80,0.22162272651698942,0.2085880311443806,0.9793046005631526,0.9910821884791516,0.008917811520848397
S17,NAIG,8,365;425;480;620;545;325;505;400,295,25,80,0.20924215921181782,0.19357324487124114,0.9807716095435429,0.9910821884791516,0.008917811520848397
S17,Uniform,2,300;700,400,0,0,0.2403465753657079,0.2403465753657079,0.9714743859351791,0.9115449505905038,0.08845504940949626
S17,Uniform,3,300;500;700,400,0,0,0.22121242897519533,0.22121242897519533,0.9786592538389488,0.9363702096890817,0.0636297903109183
S17,Uniform,4,300;435;565;700,400,0,0,0.21962100842765478,0.21962100842765478,0.9788599081587669,0.9983128464690287,0.0016871535309713184
S17,Uniform,6,300;380;460;540;620;700,400,0,0,0.1982739222337553,0.1982739222337553,0.9805839152078647,0.9983128464690287,0.0016871535309713184
S17,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.16864813209327992,0.16864813209327992,0.985685273387483,0.9983128464690287,0.0016871535309713184
S18,NAIG,2,365;480,115,65,220,0.20902517487942712,0.25203843569873613,0.9820253932047738,0.9681851048445409,0.03181489515545915
S18,NAIG,3,365;480;545,180,65,155,0.2053009499500403,0.23620962403239273,0.98264878538098,0.9681851048445409,0.03181489515545915
S18,NAIG,4,365;480;545;425,180,65,155,0.24566627176571576,0.25856575543922594,0.9781772353730486,0.9681851048445409,0.03181489515545915
S18,NAIG,6,365;480;545;425;620;330,290,30,80,0.21768253204096522,0.22415199135145322,0.9816261558514224,0.9893950349481803,0.010604965051819716
S18,NAIG,8,365;480;545;425;620;330;505;305,315,5,80,0.21460933105359872,0.2133281896669171,0.9781508033351151,0.9983128464690287,0.0016871535309713184
S18,Uniform,2,300;700,400,0,0,0.20854544102958084,0.20854544102958084,0.9783206210699391,0.9115449505905038,0.08845504940949626
S18,Uniform,3,300;500;700,400,0,0,0.18458988030776524,0.18458988030776524,0.9832915499097334,0.9363702096890817,0.0636297903109183
S18,Uniform,4,300;435;565;700,400,0,0,0.18744109918151913,0.18744109918151913,0.982993809004756,0.9983128464690287,0.0016871535309713184
