site_id,strategy,K,selected_ex,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,spectral_cosine_fullrange,spectral_cosine_interpdomain,reconstruction_supported_fraction_fullrange,unsupported_fraction_fullrange
S07,Uniform,8,300;355;415;470;530;585;645;700,0.2491469863486609,0.2491469863486609,0.9685776767483136,0.9685776767483136,0.9983128464690288,0.0016871535309713
S08,NAIG,2,365;425,0.1846853006176663,0.1463874582629533,0.9848261357936364,0.9899605537485204,0.9681851048445408,0.0318148951554591
S08,NAIG,3,365;425;480,0.1844519370530696,0.1555453641588921,0.9834198625513264,0.9882750955612124,0.9681851048445408,0.0318148951554591
S08,NAIG,4,365;425;480;620,0.1811992690054883,0.1618715312667832,0.9840659129365744,0.9868751439073578,0.9681851048445408,0.0318148951554591
S08,NAIG,6,365;425;480;620;545;330,0.1883644377415569,0.1777647709582013,0.9830624659415346,0.9843184287669068,0.9893950349481804,0.0106049650518197
S08,NAIG,8,365;425;480;620;545;330;505;400,0.1936810304030606,0.1850714294774068,0.9833968487119278,0.9841392071949422,0.9893950349481804,0.0106049650518197
S08,Uniform,2,300;700,0.188186769187737,0.188186769187737,0.982188174072459,0.982188174072459,0.9115449505905038,0.0884550494094962
S08,Uniform,3,300;500;700,0.1732215065337171,0.1732215065337171,0.9854296411750552,0.9854296411750552,0.9363702096890816,0.0636297903109183
S08,Uniform,4,300;435;565;700,0.1713791011458277,0.1713791011458277,0.9857878687741276,0.9857878687741276,0.9983128464690288,0.0016871535309713
S08,Uniform,6,300;380;460;540;620;700,0.1627579821568142,0.1627579821568142,0.986749528049688,0.986749528049688,0.9983128464690288,0.0016871535309713
S08,Uniform,8,300;355;415;470;530;585;645;700,0.1574840091159254,0.1574840091159254,0.9876273484281936,0.9876273484281936,0.9983128464690288,0.0016871535309713
S09,NAIG,2,365;425,0.184206975067568,0.1647013018283455,0.9841336245309243,0.9882357008337664,0.9681851048445408,0.0318148951554591
S09,NAIG,3,365;425;480,0.1711728366011811,0.1782984456841316,0.985634954091712,0.9866735555410858,0.9681851048445408,0.0318148951554591
S09,NAIG,4,365;425;480;620,0.1719809251337675,0.1745910683930663,0.9855999970754242,0.9867490693447184,0.9681851048445408,0.0318148951554591
S09,NAIG,6,365;425;480;620;545;330,0.2439253294298589,0.2614266991156874,0.9755328231054942,0.9736428426825732,0.9893950349481804,0.0106049650518197
S09,NAIG,8,365;425;480;620;545;330;505;305,0.2317233320128564,0.2343009800056976,0.9751073251394629,0.974536219876533,0.9983128464690288,0.0016871535309713
S09,Uniform,2,300;700,0.2247111066133422,0.2247111066133422,0.9758975425570944,0.9758975425570944,0.9115449505905038,0.0884550494094962
S09,Uniform,3,300;500;700,0.1992801398938974,0.1992801398938974,0.9799465123953962,0.9799465123953962,0.9363702096890816,0.0636297903109183
S09,Uniform,4,300;435;565;700,0.2050786993641629,0.2050786993641629,0.9787727598124064,0.9787727598124064,0.9983128464690288,0.0016871535309713
S09,Uniform,6,300;380;460;540;620;700,0.1962362400938481,0.1962362400938481,0.9806675537325014,0.9806675537325014,0.9983128464690288,0.0016871535309713
S09,Uniform,8,300;355;415;470;530;585;645;700,0.167953973710123,0.167953973710123,0.9865283947819796,0.9865283947819796,0.9983128464690288,0.0016871535309713
S10,NAIG,2,365;425,0.2754662944825802,0.2494138823128175,0.9633329567412288,0.9735887161027472,0.9681851048445408,0.0318148951554591
S10,NAIG,3,365;425;620,0.2743506809641608,0.344009709542476,0.9635055979646328,0.9574744059454908,0.9681851048445408,0.0318148951554591
S10,NAIG,4,365;425;620;450,0.2328776843940264,0.2455514916738863,0.972696719099006,0.9735879438913884,0.9681851048445408,0.0318148951554591
S10,NAIG,6,365;425;620;450;545;695,0.2306379537567175,0.2384332732875394,0.9731634878038428,0.9745530315328284,0.9681851048445408,0.0318148951554591
S10,NAIG,8,365;425;620;450;545;695;505;475,0.2269991917787986,0.2290255997072985,0.9739401472406272,0.975714987706461,0.9681851048445408,0.0318148951554591
S10,Uniform,2,300;700,0.3239405714264444,0.3239405714264444,0.9477322571132744,0.9477322571132744,0.9115449505905038,0.0884550494094962
S10,Uniform,3,300;500;700,0.3200649583537571,0.3200649583537571,0.9517461285422246,0.9517461285422246,0.9363702096890816,0.0636297903109183
S10,Uniform,4,300;435;565;700,0.3305819289384002,0.3305819289384002,0.9507656677935968,0.9507656677935968,0.9983128464690288,0.0016871535309713
S10,Uniform,6,300;380;460;540;620;700,0.3000909388247618,0.3000909388247618,0.9550749424718528,0.9550749424718528,0.9983128464690288,0.0016871535309713
S10,Uniform,8,300;355;415;470;530;585;645;700,0.2518483130967748,0.2518483130967748,0.9691169625751462,0.9691169625751462,0.9983128464690288,0.0016871535309713
S11,NAIG,2,365;425,0.2380564371353933,0.2230337224604175,0.975379491655892,0.9791868624601998,0.9681851048445408,0.0318148951554591
S11,NAIG,3,365;425;480,0.2193459312538267,0.2482279738862252,0.9779372401753492,0.9744812829623596,0.9681851048445408,0.0318148951554591
S11,NAIG,4,365;425;480;620,0.2189526296262186,0.2307677714086101,0.97802713611305,0.9773612738422972,0.9681851048445408,0.0318148951554591
S11,NAIG,6,365;425;480;620;545;330,0.2934466159182184,0.3019562134412935,0.9665077924329316,0.9631028574878956,0.9893950349481804,0.0106049650518197
S11,NAIG,8,365;425;480;620;545;330;505;305,0.2639628023836763,0.2620832213489939,0.9646192488357912,0.9650492517441712,0.9983128464690288,0.0016871535309713
S11,Uniform,2,300;700,0.2619179051398478,0.2619179051398478,0.9668412076204576,0.9668412076204576,0.9115449505905038,0.0884550494094962
S11,Uniform,3,300;500;700,0.2558778823539781,0.2558778823539781,0.9703049749115866,0.9703049749115866,0.9363702096890816,0.0636297903109183
S11,Uniform,4,300;435;565;700,0.2637237504303027,0.2637237504303027,0.9678764444726567,0.9678764444726567,0.9983128464690288,0.0016871535309713
S11,Uniform,6,300;380;460;540;620;700,0.244282039291532,0.244282039291532,0.9702103098353628,0.9702103098353628,0.9983128464690288,0.0016871535309713
S11,Uniform,8,300;355;415;470;530;585;645;700,0.1896818917542916,0.1896818917542916,0.9819431266265356,0.9819431266265356,0.9983128464690288,0.0016871535309713
S12,NAIG,2,365;425,0.2107894784075114,0.1910162121423697,0.979197259288967,0.9840727098520582,0.9681851048445408,0.0318148951554591
