site_id,strategy,K,selected_ex,rho_structure,relative_frobenius_error_fullrange,spectral_cosine_fullrange
S08,Uniform,3,300;500;700,0.8587848932676518,0.1732215065337171,0.9854296411750552
S08,Uniform,4,300;435;565;700,0.908593322386426,0.1713791011458277,0.9857878687741276
S08,Uniform,6,300;380;460;540;620;700,0.9064039408866996,0.1627579821568142,0.986749528049688
S08,Uniform,8,300;355;415;470;530;585;645;700,0.976464148877942,0.1574840091159254,0.9876273484281936
S09,NAIG,2,365;425,0.9485495347564314,0.184206975067568,0.9841336245309243
S09,NAIG,3,365;425;480,0.9655172413793104,0.1711728366011811,0.985634954091712
S09,NAIG,4,365;425;480;620,0.9671592775041052,0.1719809251337675,0.9855999970754242
S09,NAIG,6,365;425;480;620;545;330,0.9775588396278052,0.2439253294298589,0.9755328231054942
S09,NAIG,8,365;425;480;620;545;330;505;305,0.9786535303776684,0.2317233320128564,0.9751073251394629
S09,Uniform,2,300;700,0.7712096332785988,0.2247111066133422,0.9758975425570944
S09,Uniform,3,300;500;700,0.9036672140120416,0.1992801398938974,0.9799465123953962
S09,Uniform,4,300;435;565;700,0.9518336070060208,0.2050786993641629,0.9787727598124064
S09,Uniform,6,300;380;460;540;620;700,0.9715380405035576,0.1962362400938481,0.9806675537325014
S09,Uniform,8,300;355;415;470;530;585;645;700,0.9896004378763,0.167953973710123,0.9865283947819796
S10,NAIG,2,365;425,0.9698960043787632,0.2754662944825802,0.9633329567412288
S10,NAIG,3,365;425;620,0.9748221127531472,0.2743506809641608,0.9635055979646328
S10,NAIG,4,365;425;620;450,0.9742747673782156,0.2328776843940264,0.972696719099006
S10,NAIG,6,365;425;620;450;545;695,0.980295566502463,0.2306379537567175,0.9731634878038428
S10,NAIG,8,365;425;620;450;545;695;505;475,0.9666119321291736,0.2269991917787986,0.9739401472406272
S10,Uniform,2,300;700,0.8489326765188834,0.3239405714264444,0.9477322571132744
S10,Uniform,3,300;500;700,0.9556650246305418,0.3200649583537571,0.9517461285422246
S10,Uniform,4,300;435;565;700,0.976464148877942,0.3305819289384002,0.9507656677935968
S10,Uniform,6,300;380;460;540;620;700,0.9890530925013684,0.3000909388247618,0.9550749424718528
S10,Uniform,8,300;355;415;470;530;585;645;700,0.9950738916256158,0.2518483130967748,0.9691169625751462
S11,NAIG,2,365;425,0.9430760810071156,0.2380564371353933,0.975379491655892
S11,NAIG,3,365;425;480,0.9551176792556104,0.2193459312538267,0.9779372401753492
S11,NAIG,4,365;425;480;620,0.9534756431308156,0.2189526296262186,0.97802713611305
S11,NAIG,6,365;425;480;620;545;330,0.9715380405035576,0.2934466159182184,0.9665077924329316
S11,NAIG,8,365;425;480;620;545;330;505;305,0.9737274220032842,0.2639628023836763,0.9646192488357912
S11,Uniform,2,300;700,0.7931034482758622,0.2619179051398478,0.9668412076204576
S11,Uniform,3,300;500;700,0.909688013136289,0.2558778823539781,0.9703049749115866
S11,Uniform,4,300;435;565;700,0.9485495347564314,0.2637237504303027,0.9678764444726567
S11,Uniform,6,300;380;460;540;620;700,0.9540229885057472,0.244282039291532,0.9702103098353628
S11,Uniform,8,300;355;415;470;530;585;645;700,0.9841269841269842,0.1896818917542916,0.9819431266265356
S12,NAIG,2,365;425,0.9020251778872468,0.2107894784075114,0.979197259288967
S12,NAIG,3,365;425;480,0.9529282977558836,0.2022252841054527,0.980255168422272
S12,NAIG,4,365;425;480;620,0.9562123700054737,0.2004067540891034,0.9806530145449408
S12,NAIG,6,365;425;480;620;545;330,0.9359605911330048,0.2708694688146857,0.971092856530088
S12,NAIG,8,365;425;480;620;545;330;400;505,0.9633278598795842,0.2229196075999496,0.9776686788843264
S12,Uniform,2,300;700,0.8160919540229885,0.2264016627272501,0.9741856073723024
S12,Uniform,3,300;500;700,0.9250136836343734,0.2113110458876947,0.977809602912888
S12,Uniform,4,300;435;565;700,0.9792008757526,0.219360398708567,0.976070043431952
S12,Uniform,6,300;380;460;540;620;700,0.9501915708812264,0.2025180204877207,0.9792789745639772
S12,Uniform,8,300;355;415;470;530;585;645;700,0.9912424740010948,0.1806993046458005,0.9838873267059056
S13,NAIG,2,365;425,0.9354132457580736,0.2137006492739148,0.9809275912198614
S13,NAIG,3,365;425;480,0.9578544061302684,0.1996236791881607,0.9824794787355376
S13,NAIG,4,365;425;480;620,0.9584017515052,0.1982986337267412,0.982306678834831
S13,NAIG,6,365;425;480;620;545;685,0.9441707717569788,0.1946082402104804,0.9826859997223658
S13,NAIG,8,365;425;480;620;545;685;505;450,0.9616858237547894,0.1891629928570072,0.9829385349151636
S13,Uniform,2,300;700,0.7903667214012041,0.2430146771654591,0.9703818588393666
S13,Uniform,3,300;500;700,0.8626163108921729,0.2353572278984561,0.9732259508455102
S13,Uniform,4,300;435;565;700,0.9315818281335524,0.2478663860005485,0.9701756240598438
S13,Uniform,6,300;380;460;540;620;700,0.9337712096332786,0.2150997961325586,0.9769639972842395
S13,Uniform,8,300;355;415;470;530;585;645;700,0.9830322933771212,0.1779912550842112,0.984238361356974
S14,NAIG,2,365;620,0.947454844006568,0.3699090732903662,0.9447588142996008
S14,NAIG,3,365;620;480,0.9720853858784894,0.3351861712470878,0.9503103898510876
S14,NAIG,4,365;620;480;425,0.9737274220032842,0.2821826717396722,0.9626888740071278
S14,NAIG,6,365;620;480;425;545;325,0.9824849480021892,0.3564762414690246,0.9481909818976046
S14,NAIG,8,365;620;480;425;545;325;525;450,0.9819376026272578,0.3273910807089427,0.954684766157742
S14,Uniform,2,300;700,0.8866995073891628,0.314382904560552,0.949691650313351
S14,Uniform,3,300;500;700,0.9573070607553368,0.3069705684246078,0.95385978838083
S14,Uniform,4,300;435;565;700,0.9786535303776684,0.3193148926470184,0.9513245575699192
S14,Uniform,6,300;380;460;540;620;700,0.9896004378763,0.2853299547679544,0.9592694263475156
S14,Uniform,8,300;355;415;470;530;585;645;700,0.9874110563765736,0.2375497100794318,0.9726133489166786
S15,NAIG,2,365;425,0.9157088122605364,0.1797321520204376,0.9838874143576396
S15,NAIG,3,365;425;620,0.9277504105090312,0.1765954641678133,0.9846431328307992
S15,NAIG,4,365;425;620;545,0.9376026272577996,0.1766449539832918,0.9844587679552328
S15,NAIG,6,365;425;620;545;475;345,0.963327859879584,0.1823566308938013,0.9848155846616012
S15,NAIG,8,365;425;620;545;475;345;505;305,0.9726327312534212,0.1929358530949525,0.981705865055286
S15,Uniform,2,300;700,0.8773946360153257,0.1766913003860938,0.9842665949039988
S15,Uniform,3,300;500;700,0.9184455391351944,0.16053334125164,0.9880811465646064
S15,Uniform,4,300;435;565;700,0.9666119321291736,0.1642441327026003,0.9865758515554546
S15,Uniform,6,300;380;460;540;620;700,0.9720853858784896,0.1563736326309432,0.987702486568628
S15,Uniform,8,300;355;415;470;530;585;645;700,0.9928845101258896,0.1494780436882817,0.9888013285370816
S16,NAIG,2,365;425,0.9534756431308156,0.2339250417112808,0.9734559453171964
S16,NAIG,3,365;425;480,0.93431855500821,0.2232425998322946,0.9751242983313262
S16,NAIG,4,365;425;480;620,0.9211822660098524,0.2192378259137805,0.9759846076710876
S16,NAIG,6,365;425;480;620;545;325,0.9649698960043788,0.299099421297745,0.9656738186492808
S16,NAIG,8,365;425;480;620;545;325;505;400,0.9704433497536946,0.2605050909817522,0.970080878154002
S16,Uniform,2,300;700,0.7668308702791462,0.2502829153483109,0.968181463506126
S16,Uniform,3,300;500;700,0.9069512862616312,0.2391072123068716,0.9722001316394338
S16,Uniform,4,300;435;565;700,0.9682539682539684,0.2400489558737602,0.9719982728004404
S16,Uniform,6,300;380;460;540;620;700,0.932129173508484,0.2217394752949569,0.975116025957796
S16,Uniform,8,300;355;415;470;530;585;645;700,0.9890530925013684,0.1959441663946135,0.9817267040528744
S17,NAIG,2,365;425,0.90311986863711,0.2087258104443328,0.9804862412031417
S17,NAIG,3,365;425;480,0.9518336070060208,0.2058789362260526,0.9807673437439411
S17,NAIG,4,365;425;480;620,0.9688013136289,0.2045913742222351,0.9808439129742588
S17,NAIG,6,365;425;480;620;545;325,0.9802955665024632,0.2216227265169894,0.9793046005631526
S17,NAIG,8,365;425;480;620;545;325;505;400,0.9868637110016424,0.2092421592118178,0.9807716095435428
S17,Uniform,2,300;700,0.808976464148878,0.2403465753657079,0.9714743859351792
S17,Uniform,3,300;500;700,0.9129720853858784,0.2212124289751953,0.9786592538389488
S17,Uniform,4,300;435;565;700,0.9802955665024632,0.2196210084276547,0.9788599081587668
S17,Uniform,6,300;380;460;540;620;700,0.9622331691297208,0.1982739222337553,0.9805839152078648
S17,Uniform,8,300;355;415;470;530;585;645;700,0.9852216748768472,0.1686481320932799,0.985685273387483
S18,NAIG,2,365;480,0.9534756431308156,0.2090251748794271,0.9820253932047738
S18,NAIG,3,365;480;545,0.961138478379858,0.2053009499500403,0.98264878538098
S18,NAIG,4,365;480;545;425,0.9480021893815,0.2456662717657157,0.9781772353730486
S18,NAIG,6,365;480;545;425;620;330,0.9677066228790367,0.2176825320409652,0.9816261558514224
S18,NAIG,8,365;480;545;425;620;330;505;305,0.9726327312534212,0.2146093310535987,0.9781508033351152
S18,Uniform,2,300;700,0.8653530377668309,0.2085454410295808,0.9783206210699392
S18,Uniform,3,300;500;700,0.9332238642583472,0.1845898803077652,0.9832915499097334
S18,Uniform,4,300;435;565;700,0.9584017515052,0.1874410991815191,0.982993809004756
S18,Uniform,6,300;380;460;540;620;700,0.9562123700054737,0.1831718094772451,0.9833292788006448
S18,Uniform,8,300;355;415;470;530;585;645;700,0.9775588396278052,0.1604529779558547,0.9873458481198292
S19,NAIG,2,325;410,0.9781061850027368,0.3528197377821369,0.9460739274305088
S19,NAIG,3,325;410;610,0.9835796387520526,0.3111827800659562,0.9543851336585076
S19,NAIG,4,325;410;610;475,0.9874110563765736,0.3892085432380679,0.9349308795840174
S19,NAIG,6,325;410;610;475;365;495,0.9967159277504108,0.3986399685313323,0.9363476346913006
S19,NAIG,8,325;410;610;475;365;495;305;700,0.9956212370005476,0.3705990349710317,0.9291756453963927
S19,Uniform,2,300;700,0.9545703338806788,0.3761516602116632,0.931638160059073
S19,Uniform,3,300;500;700,0.975369458128079,0.3508283340442283,0.9415117283302602
S19,Uniform,4,300;435;565;700,0.9720853858784896,0.3663465776660978,0.9331545130038122
S19,Uniform,6,300;380;460;540;620;700,0.9967159277504106,0.3001222813488381,0.9547865995978072
S19,Uniform,8,300;355;415;470;530;585;645;700,0.9967159277504106,0.2431494155713229,0.9717487435777056
S20,NAIG,2,365;480,0.9562123700054734,0.2716722050495158,0.9676960878727624
S20,NAIG,3,365;480;630,0.963327859879584,0.2660303151598927,0.9698673569407376
S20,NAIG,4,365;480;630;545,0.960591133004926,0.2656429882286318,0.9697190452305052
S20,NAIG,6,365;480;630;545;425;695,0.9540229885057472,0.2278136162872385,0.9755921191952752
S20,NAIG,8,365;480;630;545;425;695;510;400,0.9573070607553368,0.2466111848825752,0.9713875409034152
S20,Uniform,2,300;700,0.8604269293924467,0.290049147215651,0.9642711187497092
