strategy,K,selected_ex,relative_frobenius_error_fullrange,spectral_cosine_fullrange,rho_structure
Uniform,8,300;355;415;470;530;585;645;700,0.1574840091159254,0.9876273484281936,0.976464148877942
NAIG,2,365;425,0.184206975067568,0.9841336245309243,0.9485495347564314
NAIG,3,365;425;480,0.1711728366011811,0.985634954091712,0.9655172413793104
NAIG,4,365;425;480;620,0.1719809251337675,0.9855999970754242,0.9671592775041052
NAIG,6,365;425;480;620;545;330,0.2439253294298589,0.9755328231054942,0.9775588396278052
NAIG,8,365;425;480;620;545;330;505;305,0.2317233320128564,0.9751073251394629,0.9786535303776684
Uniform,2,300;700,0.2247111066133422,0.9758975425570944,0.7712096332785988
Uniform,3,300;500;700,0.1992801398938974,0.9799465123953962,0.9036672140120416
Uniform,4,300;435;565;700,0.2050786993641629,0.9787727598124064,0.9518336070060208
Uniform,6,300;380;460;540;620;700,0.1962362400938481,0.9806675537325014,0.9715380405035576
Uniform,8,300;355;415;470;530;585;645;700,0.167953973710123,0.9865283947819796,0.9896004378763
NAIG,2,365;425,0.2754662944825802,0.9633329567412288,0.9698960043787632
NAIG,3,365;425;620,0.2743506809641608,0.9635055979646328,0.9748221127531472
NAIG,4,365;425;620;450,0.2328776843940264,0.972696719099006,0.9742747673782156
NAIG,6,365;425;620;450;545;695,0.2306379537567175,0.9731634878038428,0.980295566502463
NAIG,8,365;425;620;450;545;695;505;475,0.2269991917787986,0.9739401472406272,0.9666119321291736
Uniform,2,300;700,0.3239405714264444,0.9477322571132744,0.8489326765188834
Uniform,3,300;500;700,0.3200649583537571,0.9517461285422246,0.9556650246305418
Uniform,4,300;435;565;700,0.3305819289384002,0.9507656677935968,0.976464148877942
Uniform,6,300;380;460;540;620;700,0.3000909388247618,0.9550749424718528,0.9890530925013684
Uniform,8,300;355;415;470;530;585;645;700,0.2518483130967748,0.9691169625751462,0.9950738916256158
NAIG,2,365;425,0.2380564371353933,0.975379491655892,0.9430760810071156
NAIG,3,365;425;480,0.2193459312538267,0.9779372401753492,0.9551176792556104
NAIG,4,365;425;480;620,0.2189526296262186,0.97802713611305,0.9534756431308156
NAIG,6,365;425;480;620;545;330,0.2934466159182184,0.9665077924329316,0.9715380405035576
NAIG,8,365;425;480;620;545;330;505;305,0.2639628023836763,0.9646192488357912,0.9737274220032842
Uniform,2,300;700,0.2619179051398478,0.9668412076204576,0.7931034482758622
Uniform,3,300;500;700,0.2558778823539781,0.9703049749115866,0.909688013136289
Uniform,4,300;435;565;700,0.2637237504303027,0.9678764444726567,0.9485495347564314
Uniform,6,300;380;460;540;620;700,0.244282039291532,0.9702103098353628,0.9540229885057472
Uniform,8,300;355;415;470;530;585;645;700,0.1896818917542916,0.9819431266265356,0.9841269841269842
NAIG,2,365;425,0.2107894784075114,0.979197259288967,0.9020251778872468
NAIG,3,365;425;480,0.2022252841054527,0.980255168422272,0.9529282977558836
NAIG,4,365;425;480;620,0.2004067540891034,0.9806530145449408,0.9562123700054737
NAIG,6,365;425;480;620;545;330,0.2708694688146857,0.971092856530088,0.9359605911330048
NAIG,8,365;425;480;620;545;330;400;505,0.2229196075999496,0.9776686788843264,0.9633278598795842
Uniform,2,300;700,0.2264016627272501,0.9741856073723024,0.8160919540229885
Uniform,3,300;500;700,0.2113110458876947,0.977809602912888,0.9250136836343734
Uniform,4,300;435;565;700,0.219360398708567,0.976070043431952,0.9792008757526
Uniform,6,300;380;460;540;620;700,0.2025180204877207,0.9792789745639772,0.9501915708812264
Uniform,8,300;355;415;470;530;585;645;700,0.1806993046458005,0.9838873267059056,0.9912424740010948
NAIG,2,365;425,0.2137006492739148,0.9809275912198614,0.9354132457580736
NAIG,3,365;425;480,0.1996236791881607,0.9824794787355376,0.9578544061302684
NAIG,4,365;425;480;620,0.1982986337267412,0.982306678834831,0.9584017515052
NAIG,6,365;425;480;620;545;685,0.1946082402104804,0.9826859997223658,0.9441707717569788
NAIG,8,365;425;480;620;545;685;505;450,0.1891629928570072,0.9829385349151636,0.9616858237547894
Uniform,2,300;700,0.2430146771654591,0.9703818588393666,0.7903667214012041
Uniform,3,300;500;700,0.2353572278984561,0.9732259508455102,0.8626163108921729
Uniform,4,300;435;565;700,0.2478663860005485,0.9701756240598438,0.9315818281335524
Uniform,6,300;380;460;540;620;700,0.2150997961325586,0.9769639972842395,0.9337712096332786
Uniform,8,300;355;415;470;530;585;645;700,0.1779912550842112,0.984238361356974,0.9830322933771212
NAIG,2,365;620,0.3699090732903662,0.9447588142996008,0.947454844006568
NAIG,3,365;620;480,0.3351861712470878,0.9503103898510876,0.9720853858784894
NAIG,4,365;620;480;425,0.2821826717396722,0.9626888740071278,0.9737274220032842
NAIG,6,365;620;480;425;545;325,0.3564762414690246,0.9481909818976046,0.9824849480021892
NAIG,8,365;620;480;425;545;325;525;450,0.3273910807089427,0.954684766157742,0.9819376026272578
Uniform,2,300;700,0.314382904560552,0.949691650313351,0.8866995073891628
Uniform,3,300;500;700,0.3069705684246078,0.95385978838083,0.9573070607553368
Uniform,4,300;435;565;700,0.3193148926470184,0.9513245575699192,0.9786535303776684
Uniform,6,300;380;460;540;620;700,0.2853299547679544,0.9592694263475156,0.9896004378763
Uniform,8,300;355;415;470;530;585;645;700,0.2375497100794318,0.9726133489166786,0.9874110563765736
NAIG,2,365;425,0.1797321520204376,0.9838874143576396,0.9157088122605364
NAIG,3,365;425;620,0.1765954641678133,0.9846431328307992,0.9277504105090312
NAIG,4,365;425;620;545,0.1766449539832918,0.9844587679552328,0.9376026272577996
NAIG,6,365;425;620;545;475;345,0.1823566308938013,0.9848155846616012,0.963327859879584
NAIG,8,365;425;620;545;475;345;505;305,0.1929358530949525,0.981705865055286,0.9726327312534212
